text|target_emotion|intensity|admiration|amusement|anger|annoyance|approval|caring|confusion|curiosity|desire|disappointment|disapproval|disgust|embarrassment|excitement|fear|gratitude|grief|joy|love|nervousness|optimism|pride|realization|relief|remorse|sadness|surprise|neutral|sadness|joy|love|anger|fear|surprise|
During the period of falling in love, each time that we met and especially when we had not met for a long time.|1|3|0.0036|0.0073|0.00307|0.01142|0.03944|0.01406|0.00469|0.00345|0.06136|0.0851|0.00766|0.00297|0.00539|0.00679|0.00518|0.00129|0.00245|0.01534|0.09591|0.00726|0.02324|0.00303|0.07439|0.00366|0.00429|0.06169|0.00461|0.36094|0.00571|0.0318|0.08095|0.24947|0.23701|0.00431|
When I was involved in a traffic accident.|2|2|0.00298|0.00421|0.00291|0.00889|0.0119|0.00265|0.0093|0.00452|0.00487|0.02956|0.00474|0.00305|0.0034|0.00597|0.00393|0.00129|0.00127|0.00355|0.00154|0.00312|0.00404|0.00178|0.06117|0.00183|0.0032|0.03713|0.00839|0.81156|0.03863|0.01266|0.00225|0.0897|0.93278|0.01134|
When I was driving home after  several days of hard work, there was a motorist ahead of me who was driving at 50 km/hour and refused, despite his low speeed to let me overtake.|3|3|0.00782|0.00198|0.01269|0.06024|0.02647|0.01619|0.00845|0.00261|0.00763|0.31763|0.15107|0.01021|0.01196|0.00543|0.00642|0.00293|0.0032|0.006|0.00253|0.00572|0.00743|0.00322|0.04842|0.00542|0.0096|0.13287|0.00716|0.34497|0.02365|0.01359|0.00255|0.96524|0.02744|0.00275|
When I lost the person who meant the most to me. |4|4|0.00779|0.0055|0.0081|0.01943|0.01524|0.00779|0.0079|0.00393|0.01955|0.27437|0.01507|0.00781|0.01273|0.00707|0.01419|0.00318|0.00502|0.00673|0.00504|0.0104|0.01107|0.00421|0.07056|0.00541|0.01825|0.51988|0.01013|0.28596|0.98747|0.0043|0.00204|0.00445|0.01342|0.00313|
The time I knocked a deer down - the sight of the animal's injuries and helplessness.  The realization that the animal was so badly hurt that it had to be put down, and when the animal screamed at the moment of death.|5|4|0.00364|0.00829|0.00941|0.02184|0.0123|0.00565|0.01325|0.00686|0.00966|0.15734|0.00953|0.02394|0.02889|0.00656|0.08175|0.00501|0.00563|0.0039|0.00493|0.02121|0.00646|0.00348|0.0769|0.00469|0.03646|0.36109|0.01527|0.26848|0.87087|0.00247|0.00096|0.0147|0.03291|0.00193|
When I did not speak the truth.|6|3|0.00141|0.00371|0.00485|0.02154|0.03984|0.002|0.03716|0.0035|0.00146|0.016|0.15934|0.00278|0.00234|0.00193|0.00175|0.00062|0.00058|0.00118|0.0006|0.00111|0.00324|0.00076|0.04404|0.00129|0.00168|0.0054|0.00485|0.74844|0.00622|0.55033|0.00505|0.52273|0.04199|0.00445|
When I caused problems for somebody because he could not keep the appointed time and this led to various consequences.|7|1|0.00439|0.00317|0.01094|0.03907|0.02376|0.04636|0.00655|0.0033|0.01964|0.36398|0.03423|0.01309|0.01349|0.00422|0.03204|0.00306|0.00423|0.00476|0.00477|0.0163|0.01956|0.00351|0.05369|0.00667|0.01587|0.34619|0.00548|0.23466|0.03726|0.13987|0.00188|0.80715|0.04063|0.00302|
When I got a letter offering me the Summer job that I had applied for.  |1|2|0.00411|0.00336|0.00146|0.00486|0.02343|0.00596|0.00448|0.00461|0.01944|0.00709|0.00243|0.00088|0.00121|0.0061|0.00106|0.00132|0.00081|0.00534|0.00505|0.00131|0.01424|0.00132|0.03219|0.00152|0.00122|0.00565|0.00264|0.84945|0.00724|0.62831|0.00721|0.3288|0.12571|0.00546|
When I was going home alone one night in Paris and a man came up behind me and asked me if I was not afraid to be out alone so late at night.|2|3|0.00149|0.00319|0.00425|0.01435|0.01095|0.01454|0.02606|0.01992|0.01096|0.01977|0.00551|0.00362|0.00326|0.00836|0.01197|0.00307|0.00149|0.00516|0.00259|0.00747|0.00966|0.00199|0.04293|0.00324|0.00298|0.01677|0.00694|0.70733|0.01057|0.01478|0.00633|0.01195|0.98615|0.01256|
When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.|3|4|0.00165|0.00375|0.00775|0.02954|0.00457|0.003|0.0089|0.00755|0.00313|0.01492|0.00601|0.00409|0.00284|0.00464|0.00213|0.00074|0.0008|0.00343|0.00142|0.00188|0.00334|0.00132|0.02488|0.0013|0.0021|0.0108|0.00556|0.87951|0.01114|0.01067|0.00343|0.95431|0.18072|0.00805|
When my friends did not ask me to go to a New Year's party with them.|4|4|0.00242|0.00145|0.00259|0.00783|0.00923|0.00427|0.00678|0.00551|0.00255|0.00951|0.0124|0.00131|0.00123|0.00432|0.0007|0.00076|0.00047|0.00306|0.002|0.00094|0.00439|0.00097|0.01697|0.00131|0.0007|0.00574|0.00306|0.94368|0.01122|0.06489|0.00405|0.88789|0.2352|0.00787|
When I saw all the very drunk kids (13-14 years old) in town on Walpurgis night.|5|1|0.00211|0.01313|0.03364|0.09498|0.00799|0.00235|0.0065|0.00483|0.00486|0.04758|0.00749|0.01543|0.00795|0.00563|0.00464|0.0009|0.00184|0.00453|0.00106|0.00358|0.00347|0.00239|0.05085|0.00173|0.0046|0.03213|0.00973|0.73959|0.01234|0.00478|0.00129|0.91244|0.08743|0.00303|
